area_m2,floor_level,subway_dist_m,building_age,room_count,bathroom_count,school_score,parking_spots,mgmt_fee_krw,price_100m_krw
76.9,12,80,15,3,2,57.0,2,182529,5.701
78.1,4,1251,18,2,1,88.8,1,143069,5.335
136.7,14,1454,24,5,4,63.4,4,118433,9.07
73.5,7,957,15,3,2,85.9,4,223383,5.72
85.8,6,507,2,3,2,61.1,3,184678,6.875
101.2,12,556,5,4,3,82.0,3,157071,8.499
33.4,9,995,21,2,2,73.4,2,78486,2.962
65.7,23,583,15,2,1,74.6,2,166701,5.391
55.1,5,414,20,1,1,60.4,1,73267,3.85
50.8,14,673,4,2,1,74.4,2,190164,4.702
77.3,7,912,4,2,2,86.2,2,110934,6.082
78.2,1,994,1,3,2,66.8,3,142188,6.079
85.8,14,859,32,3,2,69.8,2,154204,5.376
62.2,5,873,5,3,2,90.6,2,208578,5.45
124.6,14,358,18,4,3,76.7,3,183709,9.245
124.6,21,938,9,4,3,75.0,3,335975,8.607
127.4,20,504,4,4,3,75.0,4,155235,10.132
75.3,9,642,17,3,2,40.0,3,128241,5.116
91.2,13,481,18,3,2,78.1,1,96053,6.92
89.7,7,889,12,4,3,82.5,3,180159,6.964
108.3,13,897,24,3,2,75.8,3,282921,7.037
76.4,12,718,16,3,2,61.1,3,233079,5.385
63.2,8,1079,18,2,1,81.7,2,267913,4.338
57.6,12,155,16,2,2,89.2,2,149645,5.548
115.4,5,1034,14,4,3,91.0,4,105929,8.528
89.3,9,392,7,3,2,84.1,2,177683,7.023
85.9,18,571,19,2,2,75.2,2,233103,5.929
98.5,12,1234,31,4,3,66.9,3,130543,6.633
82.8,10,1241,22,3,2,100.0,3,209217,5.867
78.3,9,1019,18,3,2,55.2,3,220957,5.497
47.1,7,1141,17,2,1,68.3,2,241067,3.236
67.8,10,952,27,3,2,70.8,2,240664,4.275
79.9,11,343,20,3,2,68.1,2,144796,6.028
68.0,3,1020,13,4,2,75.9,4,178357,5.413
93.2,13,402,15,3,2,66.2,2,134932,7.086
99.4,1,880,11,3,2,71.1,2,163265,6.806
55.7,3,474,14,1,1,85.7,1,189959,4.46
72.4,8,369,13,3,2,77.5,2,171788,6.034
98.7,9,1050,18,3,2,75.5,2,85266,6.873
99.4,2,1312,19,3,2,84.2,3,213285,6.409
88.6,11,501,11,4,3,88.6,4,165316,7.777
82.7,11,358,27,3,2,83.0,3,122141,6.26
99.0,11,1165,13,3,2,58.0,2,207094,6.15
90.1,8,612,1,3,2,75.1,2,102390,7.256
84.8,9,566,2,3,2,68.5,2,220932,6.586
91.4,11,1324,10,3,2,84.4,3,211706,6.717
86.0,6,1035,23,3,2,65.3,3,172472,5.442
95.8,11,912,20,3,2,69.9,2,117035,6.623
55.8,27,621,11,2,2,69.0,2,235528,4.884
89.2,14,982,9,4,3,62.6,3,171475,6.691
76.3,1,778,24,3,2,81.5,3,146463,5.359
80.2,16,506,1,3,2,93.7,2,97382,7.145
49.3,12,571,9,2,2,88.4,1,209801,4.738
127.3,9,464,15,5,3,93.4,4,171684,9.863
98.6,13,745,26,5,3,60.9,4,221201,6.629
90.4,14,210,5,3,2,69.9,3,134271,7.512
119.6,10,702,11,4,2,63.7,4,155157,8.734
54.9,9,608,7,2,2,73.9,2,283917,4.578
115.8,19,80,9,4,3,76.6,4,187096,9.194
58.6,4,1329,35,2,2,75.8,1,215964,3.055
50.5,8,1047,24,2,1,65.1,2,172979,3.239
62.0,14,80,10,3,2,85.2,2,117458,6.175
64.3,10,936,5,3,2,90.4,4,228154,5.875
25.0,1,298,11,1,1,77.3,0,50000,3.21
123.8,16,840,28,4,3,99.2,3,141203,8.999
59.3,14,534,4,3,2,45.4,2,278627,4.49
59.4,13,1159,12,2,1,56.1,2,165517,3.978
150.7,4,568,9,5,4,100.0,4,221231,11.195
92.0,14,854,1,3,2,60.6,2,246882,6.821
66.7,9,197,20,2,2,52.2,3,251435,4.662
95.4,17,282,9,4,3,82.9,3,252327,8.032
131.7,6,436,22,4,3,70.7,3,230686,8.665
42.9,3,501,15,1,1,70.7,0,147136,3.061
60.6,12,1034,5,2,2,84.6,2,183004,5.013
98.7,8,1124,18,4,2,61.7,3,168150,6.369
49.6,19,489,12,2,2,100.0,2,139466,5.335
85.3,9,729,21,3,2,77.4,3,173670,5.97
84.3,10,226,15,3,2,78.9,3,151495,6.755
96.0,13,336,12,3,2,63.4,3,154756,7.554
98.1,3,1011,10,3,2,81.4,3,119790,7.262
83.0,12,1319,1,3,3,81.3,3,187095,6.476
79.4,5,131,23,3,2,87.2,3,219851,5.914
64.8,10,1100,25,2,1,94.3,1,239839,4.34
38.7,10,757,14,1,1,67.0,0,249079,2.597
94.0,9,872,1,4,2,70.1,3,266259,7.184
127.6,1,491,31,4,3,57.6,3,232730,7.81
105.7,1,453,37,4,3,59.4,3,152479,6.456
66.5,8,526,33,3,2,66.1,2,264365,4.013
71.8,11,663,20,2,1,73.1,1,221291,4.694
77.1,6,577,11,2,1,70.6,3,66095,6.232
80.7,11,1185,1,3,2,87.5,2,55239,6.691
102.2,9,213,14,4,3,56.6,4,231722,7.472
58.3,16,720,22,2,1,61.5,1,50000,4.042
90.7,13,159,10,3,2,62.2,3,221396,6.627
70.4,13,883,30,3,2,73.3,2,182866,4.869
139.2,7,964,13,5,3,78.9,4,171029,9.718
55.2,19,1165,1,2,2,71.6,2,252365,4.833
102.1,5,1245,10,4,3,62.5,3,116375,6.975
69.4,8,1315,27,2,1,91.6,2,186166,4.605
57.5,8,529,1,2,1,78.5,2,271681,5.101
110.1,31,758,5,4,2,71.8,3,166360,8.862
112.6,16,428,14,4,3,71.9,3,209404,8.413
96.4,16,750,35,3,2,60.6,3,209302,5.872
75.8,18,982,7,3,3,65.3,3,167361,5.918
86.2,11,996,12,3,1,84.5,3,197043,6.183
69.4,17,905,8,3,2,60.6,3,156675,5.892
98.3,15,1267,4,4,3,82.0,4,68213,8.266
56.4,7,935,24,1,1,87.6,1,279914,3.683
91.2,10,1387,11,3,2,84.4,3,71245,6.389
50.3,10,461,12,2,1,68.8,2,212702,4.439
106.5,8,660,16,4,3,83.4,3,190809,8.003
90.4,5,80,18,4,3,58.7,4,119824,6.81
82.6,15,703,1,3,2,49.5,3,205980,6.44
94.2,10,1488,11,3,2,79.8,3,300820,6.2
65.8,13,808,25,2,2,61.7,2,174986,4.382
85.4,11,882,25,2,1,70.5,2,216420,5.268
67.6,6,358,27,2,1,62.4,1,191667,3.942
44.9,8,488,28,2,2,81.8,2,57632,4.066
40.2,18,272,28,1,1,84.2,0,204903,3.336
88.4,8,80,3,4,3,65.9,3,195144,7.343
114.8,2,749,8,4,3,77.5,4,121104,8.637
98.6,13,239,7,3,2,58.9,2,139380,7.508
67.4,14,80,35,2,2,65.6,2,137874,4.831
105.8,11,844,15,4,3,75.0,3,135434,7.976
81.8,15,733,11,3,1,66.1,2,221799,5.938
98.2,16,927,17,4,3,75.4,3,142524,7.14
58.3,17,754,23,2,2,96.2,2,208997,5.048
56.1,10,285,5,2,1,61.7,1,237716,4.404
70.6,1,559,29,3,2,62.1,2,201503,4.464
94.5,1,996,14,4,3,66.8,3,197994,6.641
47.8,13,471,1,2,1,93.8,2,166872,5.481
129.1,2,642,22,5,4,65.8,4,230033,8.637
77.4,6,381,1,3,2,63.3,2,183961,5.99
80.2,11,904,19,3,2,58.3,3,138530,5.449
65.6,8,666,17,3,2,60.9,3,196587,4.608
95.0,17,1007,23,3,2,100.0,2,54178,7.414
76.9,10,1029,20,3,2,78.1,3,136355,5.522
77.5,13,1050,17,3,2,74.5,3,175664,5.483
72.4,4,471,20,2,1,88.3,1,94469,5.696
72.7,1,615,12,3,2,72.4,2,163579,5.75
70.7,8,1001,5,3,2,71.7,2,50000,5.414
83.8,9,256,20,4,3,76.3,2,93060,6.476
88.9,1,501,19,3,2,85.4,2,166331,6.64
85.9,10,722,26,3,3,90.1,3,233378,6.329
96.3,11,832,11,4,3,82.1,3,188522,7.499
92.0,8,861,14,3,2,69.7,3,219901,6.19
85.3,5,649,15,3,2,68.1,3,211683,5.929
81.5,6,627,1,3,2,82.6,3,142009,6.979
25.0,10,152,20,1,1,69.1,1,188426,2.655
90.0,10,492,17,3,1,70.1,3,223189,6.245
85.6,12,528,34,3,3,92.8,2,267992,6.298
102.1,20,788,25,3,2,100.0,2,210332,7.563
71.9,10,1006,14,3,2,82.2,3,166383,5.519
129.0,1,1081,1,5,3,72.1,4,98356,9.414
75.6,1,651,9,3,2,62.9,3,223519,5.576
90.1,15,472,29,3,2,88.7,2,154585,6.456
85.7,7,690,21,3,2,77.6,2,156014,5.968
96.0,9,1296,29,3,2,79.9,2,103002,5.985
69.0,13,815,6,2,1,81.4,1,84115,5.812
52.3,13,135,19,2,2,80.4,1,253245,4.494
63.9,10,726,17,2,1,64.1,2,190184,4.48
79.0,12,836,16,3,2,63.5,2,249557,5.434
126.3,17,691,17,5,3,72.8,5,139722,9.291
68.2,2,726,13,2,1,65.3,1,220335,4.051
73.3,20,1247,36,3,2,75.3,2,238686,4.42
111.5,4,648,10,4,3,68.2,3,156933,7.768
90.7,3,688,27,3,2,82.5,3,50000,6.631
71.4,16,80,9,3,2,77.6,3,190627,6.619
119.1,1,338,27,5,4,64.1,4,393847,7.69
92.6,2,151,8,3,2,72.7,3,251623,6.953
64.3,8,108,20,2,1,81.6,2,103950,5.551
106.8,3,915,27,3,2,100.0,3,148684,7.49
56.6,10,866,3,1,1,71.4,0,149871,3.987
74.2,11,481,16,2,2,84.2,2,267194,5.966
46.8,8,1114,22,2,1,96.5,1,178001,3.46
100.0,8,903,1,3,2,81.7,3,205496,7.745
96.5,10,1043,15,4,2,69.2,3,119923,7.096
89.5,17,896,14,3,2,77.9,3,97797,6.779
61.3,5,717,11,2,1,63.9,2,163984,4.324
25.0,1,645,19,1,1,64.7,0,125163,1.628
113.2,13,702,17,3,2,100.0,2,148554,8.603
103.2,11,474,15,4,2,86.3,3,252472,7.855
85.1,5,1299,15,2,2,55.0,1,126721,4.93
63.4,22,843,3,2,2,61.4,1,193439,5.082
75.7,9,786,14,3,3,84.7,2,257659,5.865
95.8,9,602,12,4,3,62.5,3,197153,7.342
102.9,6,566,8,3,2,51.5,3,69595,7.052
101.2,25,959,20,3,2,75.8,3,184781,7.319
67.6,6,420,37,3,1,77.2,2,113801,4.671
92.4,18,393,9,3,3,78.0,2,250308,7.343
45.8,11,631,24,2,1,79.6,2,223484,3.716
33.9,12,1167,18,2,1,61.8,1,225112,1.787
106.7,14,726,25,3,2,71.1,3,186918,7.342
58.7,16,920,4,2,2,70.6,1,270329,4.653
103.6,14,1099,3,3,2,74.2,2,195095,7.339
85.9,19,305,11,3,2,87.0,3,248092,6.864
83.5,12,288,11,3,2,92.0,2,145924,7.175
61.2,7,887,17,2,1,85.2,2,192432,4.733
60.3,13,808,1,2,2,95.6,1,136777,5.495
62.1,6,797,19,2,2,100.0,2,200136,5.17
82.8,15,1352,30,4,3,68.4,3,181765,5.274
50.4,18,1313,35,1,1,67.6,1,173544,2.452
66.3,17,993,9,2,2,90.2,1,89453,6.118
93.1,11,347,21,3,2,84.4,2,152280,7.194
76.7,10,297,1,3,2,72.1,3,186633,6.675
86.3,5,80,24,3,2,69.0,3,224087,5.914
111.2,23,866,10,4,3,91.5,3,108997,8.853
98.7,11,799,14,3,2,71.6,2,170691,7.142
67.0,12,432,9,2,2,93.7,1,192157,5.987
65.9,25,80,4,2,1,50.3,2,160961,6.068
85.9,9,1014,3,3,2,76.4,3,162622,6.431
67.2,8,769,1,3,2,73.1,2,273267,5.5
88.1,13,299,11,4,3,78.7,4,192583,7.414
90.2,5,607,25,3,2,82.6,2,182060,5.714
39.8,9,664,16,1,1,70.9,1,226759,2.973
88.8,10,630,8,3,2,95.7,2,203093,7.17
95.4,9,678,11,3,3,78.4,3,285352,6.881
25.0,9,425,24,1,1,76.2,0,205745,2.094
115.5,17,699,20,5,3,85.5,4,164584,8.744
85.0,13,1374,32,3,2,61.8,3,144034,4.831
53.1,10,740,12,2,2,71.8,1,131816,4.364
78.7,13,348,1,3,2,75.4,2,71493,7.379
62.8,10,928,1,2,1,58.0,1,206641,4.243
109.7,4,1075,8,3,2,69.1,2,255917,7.019
75.3,8,836,9,2,2,57.6,1,100683,5.136
79.7,12,624,2,3,2,68.3,3,165629,6.462
79.4,5,243,16,3,3,77.3,2,177351,6.309
101.6,7,1211,24,3,2,68.4,1,205533,5.833
82.0,7,192,13,3,2,61.1,3,116279,6.472
76.6,16,588,1,3,2,91.7,2,165961,6.943
146.1,9,1201,17,5,4,87.9,4,193716,10.106
95.0,4,625,17,3,2,71.1,2,315611,6.094
25.0,10,867,11,1,1,73.2,1,281946,2.374
56.6,1,425,29,2,2,57.9,1,128316,3.58
45.5,12,585,9,2,1,65.5,2,173938,4.177
66.5,8,711,4,2,2,86.0,2,263875,5.623
114.2,2,892,11,4,3,87.8,4,170224,8.696
81.3,11,1331,22,3,2,82.2,2,235728,5.203
63.7,14,1130,24,2,1,84.6,2,250110,4.284
39.0,17,161,20,1,1,65.7,1,230924,3.29
93.5,9,568,15,4,3,85.7,3,170392,7.291
59.9,10,904,20,2,2,72.4,2,244679,4.134
74.7,12,524,20,3,3,72.2,2,106193,5.892
49.1,10,1222,7,2,2,81.2,1,96602,4.242
77.5,12,709,18,2,1,75.4,1,264871,5.346
74.9,6,494,12,2,2,81.6,1,229663,5.866
82.9,5,806,16,3,2,84.9,2,180173,6.154
98.4,6,577,8,3,2,84.2,2,132990,7.524
78.9,10,555,17,3,3,85.2,2,286455,6.072
125.8,13,1417,20,5,4,78.0,3,170064,8.385
